"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1880;"BETUL BAZAR";"BETUL BAZAR";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1881;"BIMANGARH";"BIMANGARH";"TRIPURA";"TRIPURA";"16";"30";"TRIPURA";"TR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1882;"BORIAVI";"BORIAVI";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1883;"BUTTAYAGUDEM";"BUTTAYAGUDEM";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1884;"CHALALA";"CHALALA";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1885;"CHANDALUR";"CHANDALUR";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1886;"CHARALI";"CHARALI";"ASSAM";"ASSAM";"13";"4";"ASSAM";"AS"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1887;"CHIKKERUR";"CHIKKERUR";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1888;"CHOPADA";"CHOPADA";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1889;"CLAPPANA";"CLAPPANA";"KERALA";"KERALA";"32";"15";"KERALA";"KE"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1890;"DALDALA";"DALDALA";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1891;"KARAIKUDI";"KARAIKUDI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1892;"BAZPUR_UTT";"BAZPUR";"UTTARAKHAND";"UTTARAKHAND";"5";"32";"UTTARAKHAND";"UC"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1893;"DEULBERA COLLIERY";"DEULBERA COLLIERY";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1894;"DHANK";"DHANK";"GUJARAT";"GUJARAT";"24";"9";"GUJARAT";"GU"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1895;"DUBRA";"DUBRA";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1896;"ELACHIPALAYAM";"ELACHIPALAYAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1897;"FERTILIZER CITY";"FERTILIZER CITY";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1898;"GUMMIDIPOONDI";"GUMMIDIPOONDI";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1899;"SHIVPURI";"SHIVPURI";"MADHYA PRADESH";"MADHYA PRADESH";"23";"16";"MADHYA PRADESH";"MP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1900;"GUMLA";"GUMLA";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
